year,state,month,date,number
2010,Goias,Setembro,01/01/2010,5.075
2011,Goias,Setembro,01/01/2011,2.259
2012,Goias,Setembro,01/01/2012,2.452
2013,Goias,Setembro,01/01/2013,684
2014,Goias,Setembro,01/01/2014,1.687
2015,Goias,Setembro,01/01/2015,2.296
2016,Goias,Setembro,01/01/2016,1.703
2017,Goias,Setembro,01/01/2017,3.238
1998,Goias,Outubro,01/01/1998,1.034
1999,Goias,Outubro,01/01/1999,743
2000,Goias,Outubro,01/01/2000,905
2001,Goias,Outubro,01/01/2001,479
2002,Goias,Outubro,01/01/2002,1.367
2003,Goias,Outubro,01/01/2003,1.183
2004,Goias,Outubro,01/01/2004,1.275
2005,Goias,Outubro,01/01/2005,1.717
2006,Goias,Outubro,01/01/2006,178
2007,Goias,Outubro,01/01/2007,1.195
2008,Goias,Outubro,01/01/2008,1.231
2009,Goias,Outubro,01/01/2009,367
2010,Goias,Outubro,01/01/2010,1.227
2011,Goias,Outubro,01/01/2011,476
2012,Goias,Outubro,01/01/2012,1.524
2013,Goias,Outubro,01/01/2013,606
2014,Goias,Outubro,01/01/2014,1.947
2015,Goias,Outubro,01/01/2015,1.807
2016,Goias,Outubro,01/01/2016,522
2017,Goias,Outubro,01/01/2017,2.401
1998,Goias,Novembro,01/01/1998,47
1999,Goias,Novembro,01/01/1999,110
2000,Goias,Novembro,01/01/2000,26
2001,Goias,Novembro,01/01/2001,15
2002,Goias,Novembro,01/01/2002,192
2003,Goias,Novembro,01/01/2003,168
2004,Goias,Novembro,01/01/2004,291
2005,Goias,Novembro,01/01/2005,144
2006,Goias,Novembro,01/01/2006,91
2007,Goias,Novembro,01/01/2007,79
2008,Goias,Novembro,01/01/2008,90
2009,Goias,Novembro,01/01/2009,89
2010,Goias,Novembro,01/01/2010,67
2011,Goias,Novembro,01/01/2011,59
2012,Goias,Novembro,01/01/2012,57
2013,Goias,Novembro,01/01/2013,183
2014,Goias,Novembro,01/01/2014,181
2015,Goias,Novembro,01/01/2015,547
2016,Goias,Novembro,01/01/2016,123
2017,Goias,Novembro,01/01/2017,117
1998,Goias,Dezembro,01/01/1998,13
1999,Goias,Dezembro,01/01/1999,20
2000,Goias,Dezembro,01/01/2000,6
2001,Goias,Dezembro,01/01/2001,18
2002,Goias,Dezembro,01/01/2002,115
2003,Goias,Dezembro,01/01/2003,129
2004,Goias,Dezembro,01/01/2004,56
2005,Goias,Dezembro,01/01/2005,5
2006,Goias,Dezembro,01/01/2006,7
2007,Goias,Dezembro,01/01/2007,16
2008,Goias,Dezembro,01/01/2008,6
2009,Goias,Dezembro,01/01/2009,39
2010,Goias,Dezembro,01/01/2010,48
2011,Goias,Dezembro,01/01/2011,39
2012,Goias,Dezembro,01/01/2012,93
2013,Goias,Dezembro,01/01/2013,86
2014,Goias,Dezembro,01/01/2014,68
2015,Goias,Dezembro,01/01/2015,179
2016,Goias,Dezembro,01/01/2016,64
1998,Maranhao,Janeiro,01/01/1998,0
1999,Maranhao,Janeiro,01/01/1999,54
2000,Maranhao,Janeiro,01/01/2000,19
2001,Maranhao,Janeiro,01/01/2001,29
2002,Maranhao,Janeiro,01/01/2002,48
2003,Maranhao,Janeiro,01/01/2003,436
2004,Maranhao,Janeiro,01/01/2004,241
2005,Maranhao,Janeiro,01/01/2005,450
2006,Maranhao,Janeiro,01/01/2006,221
2007,Maranhao,Janeiro,01/01/2007,428
2008,Maranhao,Janeiro,01/01/2008,121
2009,Maranhao,Janeiro,01/01/2009,240
2010,Maranhao,Janeiro,01/01/2010,319
2011,Maranhao,Janeiro,01/01/2011,124
2012,Maranhao,Janeiro,01/01/2012,326
2013,Maranhao,Janeiro,01/01/2013,209
2014,Maranhao,Janeiro,01/01/2014,195
2015,Maranhao,Janeiro,01/01/2015,494
2016,Maranhao,Janeiro,01/01/2016,412
2017,Maranhao,Janeiro,01/01/2017,187
1998,Maranhao,Fevereiro,01/01/1998,0
1999,Maranhao,Fevereiro,01/01/1999,6
2000,Maranhao,Fevereiro,01/01/2000,11
2001,Maranhao,Fevereiro,01/01/2001,1
2002,Maranhao,Fevereiro,01/01/2002,116
2003,Maranhao,Fevereiro,01/01/2003,11
2004,Maranhao,Fevereiro,01/01/2004,22
2005,Maranhao,Fevereiro,01/01/2005,56
2006,Maranhao,Fevereiro,01/01/2006,22
2007,Maranhao,Fevereiro,01/01/2007,13
2008,Maranhao,Fevereiro,01/01/2008,45
2009,Maranhao,Fevereiro,01/01/2009,20
2010,Maranhao,Fevereiro,01/01/2010,93
2011,Maranhao,Fevereiro,01/01/2011,9
2012,Maranhao,Fevereiro,01/01/2012,46
2013,Maranhao,Fevereiro,01/01/2013,62
2014,Maranhao,Fevereiro,01/01/2014,29
2015,Maranhao,Fevereiro,01/01/2015,95
2016,Maranhao,Fevereiro,01/01/2016,318
2017,Maranhao,Fevereiro,01/01/2017,47
1998,Maranhao,Março,01/01/1998,0
1999,Maranhao,Março,01/01/1999,17
2000,Maranhao,Março,01/01/2000,6
2001,Maranhao,Março,01/01/2001,0
2002,Maranhao,Março,01/01/2002,16
2003,Maranhao,Março,01/01/2003,16
2004,Maranhao,Março,01/01/2004,18
2005,Maranhao,Março,01/01/2005,9
2006,Maranhao,Março,01/01/2006,14
2007,Maranhao,Março,01/01/2007,52
2008,Maranhao,Março,01/01/2008,4
2009,Maranhao,Março,01/01/2009,33
2010,Maranhao,Março,01/01/2010,82
2011,Maranhao,Março,01/01/2011,22
2012,Maranhao,Março,01/01/2012,49
2013,Maranhao,Março,01/01/2013,30
2014,Maranhao,Março,01/01/2014,59
2015,Maranhao,Março,01/01/2015,53
2016,Maranhao,Março,01/01/2016,113
2017,Maranhao,Março,01/01/2017,32
1998,Maranhao,Abril,01/01/1998,0
1999,Maranhao,Abril,01/01/1999,4
2000,Maranhao,Abril,01/01/2000,6
2001,Maranhao,Abril,01/01/2001,2
2002,Maranhao,Abril,01/01/2002,28
2003,Maranhao,Abril,01/01/2003,79
2004,Maranhao,Abril,01/01/2004,44
2005,Maranhao,Abril,01/01/2005,43
2006,Maranhao,Abril,01/01/2006,9
2007,Maranhao,Abril,01/01/2007,5
2008,Maranhao,Abril,01/01/2008,26
2009,Maranhao,Abril,01/01/2009,14
2010,Maranhao,Abril,01/01/2010,128
2011,Maranhao,Abril,01/01/2011,37
2012,Maranhao,Abril,01/01/2012,97
2013,Maranhao,Abril,01/01/2013,62
2014,Maranhao,Abril,01/01/2014,78
2015,Maranhao,Abril,01/01/2015,119
2016,Maranhao,Abril,01/01/2016,113
2017,Maranhao,Abril,01/01/2017,91
1998,Maranhao,Maio,01/01/1998,0
1999,Maranhao,Maio,01/01/1999,3
2000,Maranhao,Maio,01/01/2000,28
2001,Maranhao,Maio,01/01/2001,21
2002,Maranhao,Maio,01/01/2002,71
2003,Maranhao,Maio,01/01/2003,60
2004,Maranhao,Maio,01/01/2004,145
2005,Maranhao,Maio,01/01/2005,74
2006,Maranhao,Maio,01/01/2006,5
2007,Maranhao,Maio,01/01/2007,73
2008,Maranhao,Maio,01/01/2008,26
2009,Maranhao,Maio,01/01/2009,19
2010,Maranhao,Maio,01/01/2010,273
2011,Maranhao,Maio,01/01/2011,73
2012,Maranhao,Maio,01/01/2012,286
2013,Maranhao,Maio,01/01/2013,100
2014,Maranhao,Maio,01/01/2014,148
2015,Maranhao,Maio,01/01/2015,194
2016,Maranhao,Maio,01/01/2016,206
2017,Maranhao,Maio,01/01/2017,142
1998,Maranhao,Junho,01/01/1998,78
1999,Maranhao,Junho,01/01/1999,32
2000,Maranhao,Junho,01/01/2000,94
2001,Maranhao,Junho,01/01/2001,100
2002,Maranhao,Junho,01/01/2002,230
2003,Maranhao,Junho,01/01/2003,338
2004,Maranhao,Junho,01/01/2004,706
2005,Maranhao,Junho,01/01/2005,529
2006,Maranhao,Junho,01/01/2006,131
2007,Maranhao,Junho,01/01/2007,515
2008,Maranhao,Junho,01/01/2008,235
2009,Maranhao,Junho,01/01/2009,279
2010,Maranhao,Junho,01/01/2010,494
2011,Maranhao,Junho,01/01/2011,602
2012,Maranhao,Junho,01/01/2012,915
2013,Maranhao,Junho,01/01/2013,498
2014,Maranhao,Junho,01/01/2014,812
2015,Maranhao,Junho,01/01/2015,887
2016,Maranhao,Junho,01/01/2016,709
2017,Maranhao,Junho,01/01/2017,885
1998,Maranhao,Julho,01/01/1998,274
1999,Maranhao,Julho,01/01/1999,258
2000,Maranhao,Julho,01/01/2000,233
2001,Maranhao,Julho,01/01/2001,549
2002,Maranhao,Julho,01/01/2002,1.271
2003,Maranhao,Julho,01/01/2003,1.103
2004,Maranhao,Julho,01/01/2004,1.366
2005,Maranhao,Julho,01/01/2005,1.152
2006,Maranhao,Julho,01/01/2006,512
2007,Maranhao,Julho,01/01/2007,1.205
2008,Maranhao,Julho,01/01/2008,502
2009,Maranhao,Julho,01/01/2009,972
2010,Maranhao,Julho,01/01/2010,2.323
2011,Maranhao,Julho,01/01/2011,1.024
2012,Maranhao,Julho,01/01/2012,3.548
2013,Maranhao,Julho,01/01/2013,1.111
2014,Maranhao,Julho,01/01/2014,2.068
2015,Maranhao,Julho,01/01/2015,1.642
2016,Maranhao,Julho,01/01/2016,2.096
2017,Maranhao,Julho,01/01/2017,2.521
1998,Maranhao,Agosto,01/01/1998,1.176
1999,Maranhao,Agosto,01/01/1999,895
2000,Maranhao,Agosto,01/01/2000,839
2001,Maranhao,Agosto,01/01/2001,2.037
2002,Maranhao,Agosto,01/01/2002,3.481
2003,Maranhao,Agosto,01/01/2003,2.023
2004,Maranhao,Agosto,01/01/2004,1.889
2005,Maranhao,Agosto,01/01/2005,2.239
2006,Maranhao,Agosto,01/01/2006,1.382
2007,Maranhao,Agosto,01/01/2007,8.409
2008,Maranhao,Agosto,01/01/2008,713
2009,Maranhao,Agosto,01/01/2009,1.766
2010,Maranhao,Agosto,01/01/2010,6.353
2011,Maranhao,Agosto,01/01/2011,2.138
2012,Maranhao,Agosto,01/01/2012,10.395
2013,Maranhao,Agosto,01/01/2013,2.098
2014,Maranhao,Agosto,01/01/2014,5.592
2015,Maranhao,Agosto,01/01/2015,5.428
2016,Maranhao,Agosto,01/01/2016,3.723
2017,Maranhao,Agosto,01/01/2017,3.875
1998,Maranhao,Setembro,01/01/1998,3.935
1999,Maranhao,Setembro,01/01/1999,1.739
2000,Maranhao,Setembro,01/01/2000,1.365
2001,Maranhao,Setembro,01/01/2001,4.618
2002,Maranhao,Setembro,01/01/2002,3.181
2003,Maranhao,Setembro,01/01/2003,5.878
2004,Maranhao,Setembro,01/01/2004,4.673
2005,Maranhao,Setembro,01/01/2005,6.292
2006,Maranhao,Setembro,01/01/2006,2.907
2007,Maranhao,Setembro,01/01/2007,8.524
2008,Maranhao,Setembro,01/01/2008,2.761
2009,Maranhao,Setembro,01/01/2009,2.404
2010,Maranhao,Setembro,01/01/2010,9.795
2011,Maranhao,Setembro,01/01/2011,4.632
2012,Maranhao,Setembro,01/01/2012,7.626
2013,Maranhao,Setembro,01/01/2013,3.88
2014,Maranhao,Setembro,01/01/2014,4.373
2015,Maranhao,Setembro,01/01/2015,6.423
2016,Maranhao,Setembro,01/01/2016,3.166
2017,Maranhao,Setembro,01/01/2017,14.825
1998,Maranhao,Outubro,01/01/1998,5.137
1999,Maranhao,Outubro,01/01/1999,3.208
2000,Maranhao,Outubro,01/01/2000,2.654
2001,Maranhao,Outubro,01/01/2001,6.661
2002,Maranhao,Outubro,01/01/2002,5.182
2003,Maranhao,Outubro,01/01/2003,6.085
2004,Maranhao,Outubro,01/01/2004,3.604
2005,Maranhao,Outubro,01/01/2005,6.472
2006,Maranhao,Outubro,01/01/2006,3.024
2007,Maranhao,Outubro,01/01/2007,4.772
2008,Maranhao,Outubro,01/01/2008,3.498
2009,Maranhao,Outubro,01/01/2009,1.861
2010,Maranhao,Outubro,01/01/2010,3.228
2011,Maranhao,Outubro,01/01/2011,2.404
2012,Maranhao,Outubro,01/01/2012,5
2013,Maranhao,Outubro,01/01/2013,2.918
2014,Maranhao,Outubro,01/01/2014,5.812
2015,Maranhao,Outubro,01/01/2015,6.746
2016,Maranhao,Outubro,01/01/2016,5.351
2017,Maranhao,Outubro,01/01/2017,6.011
1998,Maranhao,Novembro,01/01/1998,2.237
1999,Maranhao,Novembro,01/01/1999,1.494
2000,Maranhao,Novembro,01/01/2000,2.267
2001,Maranhao,Novembro,01/01/2001,3.525
2002,Maranhao,Novembro,01/01/2002,5.83
2003,Maranhao,Novembro,01/01/2003,4.929
2004,Maranhao,Novembro,01/01/2004,6.398
2005,Maranhao,Novembro,01/01/2005,4.769
2006,Maranhao,Novembro,01/01/2006,2.004
2007,Maranhao,Novembro,01/01/2007,2.297
2008,Maranhao,Novembro,01/01/2008,2.331
2009,Maranhao,Novembro,01/01/2009,5
2010,Maranhao,Novembro,01/01/2010,4.005
2011,Maranhao,Novembro,01/01/2011,2.261
2012,Maranhao,Novembro,01/01/2012,2.01
2013,Maranhao,Novembro,01/01/2013,2.529
2014,Maranhao,Novembro,01/01/2014,3.869
2015,Maranhao,Novembro,01/01/2015,4.35
2016,Maranhao,Novembro,01/01/2016,3.982
2017,Maranhao,Novembro,01/01/2017,2.3
1998,Maranhao,Dezembro,01/01/1998,1.399
1999,Maranhao,Dezembro,01/01/1999,1.001
2000,Maranhao,Dezembro,01/01/2000,1.461
2001,Maranhao,Dezembro,01/01/2001,1.296
2002,Maranhao,Dezembro,01/01/2002,2.165
2003,Maranhao,Dezembro,01/01/2003,2.424
2004,Maranhao,Dezembro,01/01/2004,3.255
2005,Maranhao,Dezembro,01/01/2005,1.66
2006,Maranhao,Dezembro,01/01/2006,1.052
2007,Maranhao,Dezembro,01/01/2007,800
2008,Maranhao,Dezembro,01/01/2008,1.101
2009,Maranhao,Dezembro,01/01/2009,1.768
2010,Maranhao,Dezembro,01/01/2010,1.803
2011,Maranhao,Dezembro,01/01/2011,1.629
2012,Maranhao,Dezembro,01/01/2012,1.296
2013,Maranhao,Dezembro,01/01/2013,2.692
2014,Maranhao,Dezembro,01/01/2014,2.4
2015,Maranhao,Dezembro,01/01/2015,3.706
2016,Maranhao,Dezembro,01/01/2016,1.577
1998,Mato Grosso,Janeiro,01/01/1998,0
1999,Mato Grosso,Janeiro,01/01/1999,39
2000,Mato Grosso,Janeiro,01/01/2000,44
2001,Mato Grosso,Janeiro,01/01/2001,44
2002,Mato Grosso,Janeiro,01/01/2002,172
2003,Mato Grosso,Janeiro,01/01/2003,896
2004,Mato Grosso,Janeiro,01/01/2004,301
2005,Mato Grosso,Janeiro,01/01/2005,438
2006,Mato Grosso,Janeiro,01/01/2006,947
2007,Mato Grosso,Janeiro,01/01/2007,476
2008,Mato Grosso,Janeiro,01/01/2008,245
2009,Mato Grosso,Janeiro,01/01/2009,527
2010,Mato Grosso,Janeiro,01/01/2010,298
2011,Mato Grosso,Janeiro,01/01/2011,171
2012,Mato Grosso,Janeiro,01/01/2012,166
2013,Mato Grosso,Janeiro,01/01/2013,269
2014,Mato Grosso,Janeiro,01/01/2014,315
2015,Mato Grosso,Janeiro,01/01/2015,960
2016,Mato Grosso,Janeiro,01/01/2016,374
2017,Mato Grosso,Janeiro,01/01/2017,482
1998,Mato Grosso,Fevereiro,01/01/1998,0
1999,Mato Grosso,Fevereiro,01/01/1999,28
2000,Mato Grosso,Fevereiro,01/01/2000,35
2001,Mato Grosso,Fevereiro,01/01/2001,54
2002,Mato Grosso,Fevereiro,01/01/2002,22
2003,Mato Grosso,Fevereiro,01/01/2003,592
2004,Mato Grosso,Fevereiro,01/01/2004,272
2005,Mato Grosso,Fevereiro,01/01/2005,871
2006,Mato Grosso,Fevereiro,01/01/2006,383
2007,Mato Grosso,Fevereiro,01/01/2007,213
2008,Mato Grosso,Fevereiro,01/01/2008,180
2009,Mato Grosso,Fevereiro,01/01/2009,248
2010,Mato Grosso,Fevereiro,01/01/2010,431
2011,Mato Grosso,Fevereiro,01/01/2011,119
2012,Mato Grosso,Fevereiro,01/01/2012,193
2013,Mato Grosso,Fevereiro,01/01/2013,375
2014,Mato Grosso,Fevereiro,01/01/2014,199
2015,Mato Grosso,Fevereiro,01/01/2015,542
2016,Mato Grosso,Fevereiro,01/01/2016,1.05
2017,Mato Grosso,Fevereiro,01/01/2017,337
1998,Mato Grosso,Março,01/01/1998,0
1999,Mato Grosso,Março,01/01/1999,18
2000,Mato Grosso,Março,01/01/2000,60
2001,Mato Grosso,Março,01/01/2001,24
2002,Mato Grosso,Março,01/01/2002,103
2003,Mato Grosso,Março,01/01/2003,554
2004,Mato Grosso,Março,01/01/2004,743
2005,Mato Grosso,Março,01/01/2005,362
2006,Mato Grosso,Março,01/01/2006,448
2007,Mato Grosso,Março,01/01/2007,476
2008,Mato Grosso,Março,01/01/2008,180
2009,Mato Grosso,Março,01/01/2009,325
2010,Mato Grosso,Março,01/01/2010,605
2011,Mato Grosso,Março,01/01/2011,252
2012,Mato Grosso,Março,01/01/2012,423
2013,Mato Grosso,Março,01/01/2013,563
2014,Mato Grosso,Março,01/01/2014,655
2015,Mato Grosso,Março,01/01/2015,705
2016,Mato Grosso,Março,01/01/2016,1.085
2017,Mato Grosso,Março,01/01/2017,719
1998,Mato Grosso,Abril,01/01/1998,0
1999,Mato Grosso,Abril,01/01/1999,76
2000,Mato Grosso,Abril,01/01/2000,59
2001,Mato Grosso,Abril,01/01/2001,309
2002,Mato Grosso,Abril,01/01/2002,641
2003,Mato Grosso,Abril,01/01/2003,903
2004,Mato Grosso,Abril,01/01/2004,441
2005,Mato Grosso,Abril,01/01/2005,372
2006,Mato Grosso,Abril,01/01/2006,161
2007,Mato Grosso,Abril,01/01/2007,79
2008,Mato Grosso,Abril,01/01/2008,274
2009,Mato Grosso,Abril,01/01/2009,169
2010,Mato Grosso,Abril,01/01/2010,769
2011,Mato Grosso,Abril,01/01/2011,345
2012,Mato Grosso,Abril,01/01/2012,521
2013,Mato Grosso,Abril,01/01/2013,338
2014,Mato Grosso,Abril,01/01/2014,859
2015,Mato Grosso,Abril,01/01/2015,947
2016,Mato Grosso,Abril,01/01/2016,1.77
2017,Mato Grosso,Abril,01/01/2017,606
1998,Mato Grosso,Maio,01/01/1998,0
1999,Mato Grosso,Maio,01/01/1999,731
2000,Mato Grosso,Maio,01/01/2000,1.194
2001,Mato Grosso,Maio,01/01/2001,1.193
2002,Mato Grosso,Maio,01/01/2002,2.528
2003,Mato Grosso,Maio,01/01/2003,942
2004,Mato Grosso,Maio,01/01/2004,2.413
2005,Mato Grosso,Maio,01/01/2005,1.641
2006,Mato Grosso,Maio,01/01/2006,269
2007,Mato Grosso,Maio,01/01/2007,359
2008,Mato Grosso,Maio,01/01/2008,119
2009,Mato Grosso,Maio,01/01/2009,516
2010,Mato Grosso,Maio,01/01/2010,1.313
2011,Mato Grosso,Maio,01/01/2011,547
2012,Mato Grosso,Maio,01/01/2012,812
2013,Mato Grosso,Maio,01/01/2013,739
2014,Mato Grosso,Maio,01/01/2014,933
2015,Mato Grosso,Maio,01/01/2015,541
2016,Mato Grosso,Maio,01/01/2016,1.081
2017,Mato Grosso,Maio,01/01/2017,845
1998,Mato Grosso,Junho,01/01/1998,2.201
1999,Mato Grosso,Junho,01/01/1999,2.201
2000,Mato Grosso,Junho,01/01/2000,4.358
2001,Mato Grosso,Junho,01/01/2001,6.665
2002,Mato Grosso,Junho,01/01/2002,7.878
2003,Mato Grosso,Junho,01/01/2003,4.313
2004,Mato Grosso,Junho,01/01/2004,9.813
2005,Mato Grosso,Junho,01/01/2005,2.294
2006,Mato Grosso,Junho,01/01/2006,856
2007,Mato Grosso,Junho,01/01/2007,1.339
2008,Mato Grosso,Junho,01/01/2008,403
2009,Mato Grosso,Junho,01/01/2009,979
2010,Mato Grosso,Junho,01/01/2010,1.025
2011,Mato Grosso,Junho,01/01/2011,974
2012,Mato Grosso,Junho,01/01/2012,1.651
2013,Mato Grosso,Junho,01/01/2013,1.213
2014,Mato Grosso,Junho,01/01/2014,1.795
2015,Mato Grosso,Junho,01/01/2015,1.402
2016,Mato Grosso,Junho,01/01/2016,1.417
2017,Mato Grosso,Junho,01/01/2017,2.041
1998,Mato Grosso,Julho,01/01/1998,3.712
1999,Mato Grosso,Julho,01/01/1999,3.926
2000,Mato Grosso,Julho,01/01/2000,1.338
2001,Mato Grosso,Julho,01/01/2001,1.555
2002,Mato Grosso,Julho,01/01/2002,5.661
2003,Mato Grosso,Julho,01/01/2003,5.435
2004,Mato Grosso,Julho,01/01/2004,11.517
2005,Mato Grosso,Julho,01/01/2005,4.172
2006,Mato Grosso,Julho,01/01/2006,1.941
2007,Mato Grosso,Julho,01/01/2007,1.79
2008,Mato Grosso,Julho,01/01/2008,1.117
2009,Mato Grosso,Julho,01/01/2009,1.613
2010,Mato Grosso,Julho,01/01/2010,3.442
2011,Mato Grosso,Julho,01/01/2011,1.061
2012,Mato Grosso,Julho,01/01/2012,2.008
2013,Mato Grosso,Julho,01/01/2013,1.63
2014,Mato Grosso,Julho,01/01/2014,2.255
2015,Mato Grosso,Julho,01/01/2015,1.533
2016,Mato Grosso,Julho,01/01/2016,3.495
2017,Mato Grosso,Julho,01/01/2017,2.79
1998,Mato Grosso,Agosto,01/01/1998,15.406
1999,Mato Grosso,Agosto,01/01/1999,18.566
2000,Mato Grosso,Agosto,01/01/2000,6.063
2001,Mato Grosso,Agosto,01/01/2001,7.762
2002,Mato Grosso,Agosto,01/01/2002,14.086
2003,Mato Grosso,Agosto,01/01/2003,11.132
2004,Mato Grosso,Agosto,01/01/2004,13.603
2005,Mato Grosso,Agosto,01/01/2005,11.57
2006,Mato Grosso,Agosto,01/01/2006,6.218
2007,Mato Grosso,Agosto,01/01/2007,14.453
2008,Mato Grosso,Agosto,01/01/2008,2.875
2009,Mato Grosso,Agosto,01/01/2009,2.25
2010,Mato Grosso,Agosto,01/01/2010,14.608
2011,Mato Grosso,Agosto,01/01/2011,2.628
2012,Mato Grosso,Agosto,01/01/2012,6.195
2013,Mato Grosso,Agosto,01/01/2013,3.568
2014,Mato Grosso,Agosto,01/01/2014,7.167
2015,Mato Grosso,Agosto,01/01/2015,5.112
2016,Mato Grosso,Agosto,01/01/2016,6.228
2017,Mato Grosso,Agosto,01/01/2017,6.229
1998,Mato Grosso,Setembro,01/01/1998,10.363
1999,Mato Grosso,Setembro,01/01/1999,11.729
2000,Mato Grosso,Setembro,01/01/2000,6.251
2001,Mato Grosso,Setembro,01/01/2001,8.49
2002,Mato Grosso,Setembro,01/01/2002,11.034
2003,Mato Grosso,Setembro,01/01/2003,15.79
2004,Mato Grosso,Setembro,01/01/2004,24.994
2005,Mato Grosso,Setembro,01/01/2005,20.551
2006,Mato Grosso,Setembro,01/01/2006,12.661
2007,Mato Grosso,Setembro,01/01/2007,25.963
2008,Mato Grosso,Setembro,01/01/2008,7.965
2009,Mato Grosso,Setembro,01/01/2009,3.129
2010,Mato Grosso,Setembro,01/01/2010,18.366
2011,Mato Grosso,Setembro,01/01/2011,6.332
2012,Mato Grosso,Setembro,01/01/2012,10.344
2013,Mato Grosso,Setembro,01/01/2013,5.576
2014,Mato Grosso,Setembro,01/01/2014,7.081
2015,Mato Grosso,Setembro,01/01/2015,11.068
2016,Mato Grosso,Setembro,01/01/2016,8.98
2017,Mato Grosso,Setembro,01/01/2017,23.945
1998,Mato Grosso,Outubro,01/01/1998,2.707
1999,Mato Grosso,Outubro,01/01/1999,6.109
2000,Mato Grosso,Outubro,01/01/2000,6.062
2001,Mato Grosso,Outubro,01/01/2001,6.543
2002,Mato Grosso,Outubro,01/01/2002,9.375
2003,Mato Grosso,Outubro,01/01/2003,5.341
2004,Mato Grosso,Outubro,01/01/2004,9.295
2005,Mato Grosso,Outubro,01/01/2005,7.765
2006,Mato Grosso,Outubro,01/01/2006,2.327
2007,Mato Grosso,Outubro,01/01/2007,4.89
2008,Mato Grosso,Outubro,01/01/2008,6.326
2009,Mato Grosso,Outubro,01/01/2009,2.579
2010,Mato Grosso,Outubro,01/01/2010,4.465
2011,Mato Grosso,Outubro,01/01/2011,2.01
2012,Mato Grosso,Outubro,01/01/2012,2.837
2013,Mato Grosso,Outubro,01/01/2013,1.986
2014,Mato Grosso,Outubro,01/01/2014,5.281
2015,Mato Grosso,Outubro,01/01/2015,6.49
2016,Mato Grosso,Outubro,01/01/2016,2.749
2017,Mato Grosso,Outubro,01/01/2017,4.8
1998,Mato Grosso,Novembro,01/01/1998,182
1999,Mato Grosso,Novembro,01/01/1999,842
2000,Mato Grosso,Novembro,01/01/2000,502
2001,Mato Grosso,Novembro,01/01/2001,373
2002,Mato Grosso,Novembro,01/01/2002,2.905
2003,Mato Grosso,Novembro,01/01/2003,2.097
2004,Mato Grosso,Novembro,01/01/2004,2.405
2005,Mato Grosso,Novembro,01/01/2005,1.368
2006,Mato Grosso,Novembro,01/01/2006,1.031
2007,Mato Grosso,Novembro,01/01/2007,299
2008,Mato Grosso,Novembro,01/01/2008,190
2009,Mato Grosso,Novembro,01/01/2009,588
2010,Mato Grosso,Novembro,01/01/2010,768
2011,Mato Grosso,Novembro,01/01/2011,1.103
2012,Mato Grosso,Novembro,01/01/2012,375
2013,Mato Grosso,Novembro,01/01/2013,1.064
2014,Mato Grosso,Novembro,01/01/2014,1.018
2015,Mato Grosso,Novembro,01/01/2015,1.93
2016,Mato Grosso,Novembro,01/01/2016,918
2017,Mato Grosso,Novembro,01/01/2017,813
1998,Mato Grosso,Dezembro,01/01/1998,76
1999,Mato Grosso,Dezembro,01/01/1999,47
2000,Mato Grosso,Dezembro,01/01/2000,98
2001,Mato Grosso,Dezembro,01/01/2001,37
2002,Mato Grosso,Dezembro,01/01/2002,1.157
2003,Mato Grosso,Dezembro,01/01/2003,1.622
2004,Mato Grosso,Dezembro,01/01/2004,1.217
2005,Mato Grosso,Dezembro,01/01/2005,246
2006,Mato Grosso,Dezembro,01/01/2006,23
2007,Mato Grosso,Dezembro,01/01/2007,81
2008,Mato Grosso,Dezembro,01/01/2008,159
2009,Mato Grosso,Dezembro,01/01/2009,171
2010,Mato Grosso,Dezembro,01/01/2010,846
2011,Mato Grosso,Dezembro,01/01/2011,431
2012,Mato Grosso,Dezembro,01/01/2012,492
2013,Mato Grosso,Dezembro,01/01/2013,447
